year,GDP_growth,Population,Unemployment with advanced education,Unemployment with basic education,Unemployment female,Unemployment male
1960,,10276477,,,,
1961,2.485769492,10483000,,,,
1962,1.296087352,10742000,,,,
1963,6.214630395,10950000,,,,
1964,6.978522159,11167000,,,,
1965,5.983505989,11388000,,,,
1966,2.382458423,11651000,,,,
1967,6.30262019,11799000,,,,
1968,5.0958138,12009000,,,,
1969,7.044329321,12263000,,,,
1970,7.172186576,12507000,,,,
1971,4.003683534,12937000,,,,
1972,3.91252353,13177000,,,,
1973,2.613723151,13380000,,,,
1974,4.103362161,13723000,,,,
1975,1.349916787,13893000,,,,
1976,2.5876962,14033000,,,,
1977,3.597427567,14192000,,,,
1978,0.896879846,14358000,,,,
1979,4.043486692,14514000,,,8.18999958,5.159999847
1980,3.034245871,14692000,,,7.860000134,5.070000172
1981,3.337768138,14927000,,,7.429999828,4.809999943
1982,3.328441934,15178000,,,8.529999733,6.349999905
1983,-2.220470122,15369000,,,10.36999989,9.720000267
1984,4.581297219,15544000,,,9.479999542,8.68999958
1985,5.249329609,15758000,,,8.760000229,7.940000057
1986,4.037528851,16018400,,,8.710000038,7.670000076
1987,2.551170459,16263900,,,8.619999886,7.760000229
1988,5.743381585,16532200,,,7.900000095,6.769999981
1989,3.861173516,16814400,,,6.840000153,5.710000038
1990,3.570998147,17065100,,,7.190000057,6.739999771
1991,-0.3978177,17284000,,,9.149999619,9.890000343
1992,0.412184701,17495000,,,9.930000305,11.31000042
1993,4.029906461,17667000,,,10,11.51000023
1994,3.983890153,17855000,,,9.359999657,9.979999542
1995,3.837755293,18072000,2.440000057,12.73999977,8.109999657,8.739999771
1996,3.878585293,18311000,,,8.239999771,8.710000038
1997,3.966537662,18517000,4.079999924,12.72000027,8.069999695,8.579999924
1998,4.576688759,18711000,3.630000114,11.44999981,7.329999924,7.940000057
1999,5.073599095,18926000,,,6.659999847,7.039999962
2000,3.933136945,19153000,3.650000095,10.25,6.059999943,6.460000038
2001,1.930857592,19413000,3.359999895,10.64999962,6.449999809,6.980000019
2002,4.001404062,19651400,3.460000038,9.960000038,6.159999847,6.53000021
2003,2.985934322,19895400,3.599999905,9.579999924,5.980000019,5.889999866
2004,4.055451968,20127400,3.25,8.680000305,5.539999962,5.28000021
2005,3.204269793,20394800,3.019999981,8.770000458,5.21999979,4.880000114
2006,2.794537024,20697900,2.309999943,7.989999771,4.920000076,4.670000076
2007,3.844230316,20827600,2.369999886,9.239999771,4.78000021,4.039999962
2008,3.657953526,21249200,2.470000029,9.56000042,4.570000172,3.960000038
2009,1.93699392,21691700,3.650000095,9.229999542,5.400000095,5.690000057
2010,2.067417128,22031750,3.019999981,9.069999695,5.380000114,5.070000172
2011,2.462756312,22340024,3.160000086,8.609999657,5.300000191,4.889999866
2012,3.918162871,22733465,3.029999971,9.239999771,5.329999924,5.139999866
2013,2.584897702,23128129,3.420000076,8.630000114,5.610000134,5.710000038
2014,2.533114665,23475686,,,6.170000076,6
2015,2.192647426,23815995,,,6.070000172,6.039999962
2016,2.770652197,24190907,,,5.78000021,5.650000095
2017,2.300610624,24601860,,,5.670000076,5.519999981
2018,2.949285772,24982688,,,5.320000172,5.28000021
2019,2.160956295,25364307,,,5.099999905,5.210000038
